isbn,price,title,publisher,year,author
9780387308142,"203,390",Sampling Algorithms,Springer,2006년,"Tille, Yves"
9788981723262,"22,000",조사방법의 이해,교우사,2002년,김영원 외
9788995717455,"30,000",사회조사방법론,CENGAGE LEARNING,2007년,EARL R. BABBIE
9791125418245,"32,000",사회조사분석사 2급 필기 한권으로 끝내기(2016),시대고시기획,2016년,이종익
9788961294638,"20,000",사회조사 분석사 2급 필기 한권으로 올인하기!(2016),정훈사,2016년,박훈
9791126001125,"9,000",패널자료 품질개선 연구. 6,한국노동연구원,2016년,"홍민기, 박인호, 김기민, 송주원, 박경원, 권혁진"
9788997544325,"35,000",질적연구방법론. 3: Writing,아카데미프레스,2013년,김영천
9791125444312,"27,000",사회조사분석사 1급 1차 필기 기출문제해설(2018),시대고시기획,2018년,소정현
9791126001729,"17,000",패널자료 품질개선 연구. 7,한국노동연구원,2017년,"김유빈, 박민규, 변종석, 최효미, 권혁진, 김우영, 성재민, 이지은, 신선옥, 이혜정, 김기홍"
9791195637478,"20,000",사경환 사회조사분석사 2급 1차 필기 기출문제 해설집 사이다 V2.0(2018 대비),퀘스천,2017년,사경환
9791125441410,"34,000",사회조사분석사 2급 2차 실기 한권으로 끝내기(2018),시대고시기획,2018년,소정현
9781498706353,"264,420",Environmental Systems Analysis with Matlab(r),CRC Press,2016년,"Marsili-libelli, Stefano"
9781118989012,"47,450",SPSS Statistics for Dummies,For Dummies,2015년,Keith McCormick
9781493921218,"122,030",Statistical Analysis and Data Display,Springer,2015년,Heiberger
9781489978462,"298,310",Data Envelopment Analysis,Springer,2016년,"Cook, Wade D. (EDT),  Zhu, Joe (EDT)"
9783319389912,"203,390",Big Data Analytics,Springer,2016년,"Corea, Francesco"
9783319439457,"108,470",Big Data Analytics and Knowledge Discovery,Springer,2016년,"Madria, Sanjay, Hara, Takahiro"
9783319445489,"216,950",Big Data Technologies and Applications,Springer,2016년,"Furht, Borko,  Villanustre, Flavio"
9783319455273,"115,250",Quantitative Analysis and Ibm(r) Spss(r) Statistics,Springer,2016년,"Aljandali, Abdulkader"
9788928713912,"20,000",통계분석,한국금융연수원,2015년,이긍희
9788964213483,"25,000",R 통계학,한티미디어,2019년,민만식
9781493931729,"161,360",Microarray Data Analysis,Humana Press,2016년,"Guzzi, Pietro Hiram (EDT)"
9781489976406,"189,830",Machine Learning Models and Algorithms for Big Data Classification,Springer,2015년,"Suthaharan, Shan"
9791158391119,"28,000",시작하세요! 데이터 분석 with R,위키북스,2018년,박훈
9791186821244,"23,000",데이터 분석 준전문가 ADsP 한 권으로 끝내기,황소걸음 아카데미,2018년,김계철
9791160506006,"22,000",누구나 통계 with R,길벗,2018년,오쿠무라 하루히코
9788993712902,"15,000",컴퓨터와 R을 활용한 텍스트 데이터 분석 기초,휴먼싸이언스,2017년,"오하영, 박정식"
9788973387830,"23,000",의학데이터의 통계분석,자유아카데미,2009년,박미라
9791158080785,"30,000",계량경제 금융자료 분석,자유아카데미,2016년,"박유성, 김기환"
9791195480111,"31,000",데이터분석 준전문가(2016),데이터에듀,2016년,윤종식
9791125426936,"27,000",빅데이터(Big Data) 활용서. 2,시대인,2016년,"김경태, 안정국, 김동현"
9788981723248,"19,000",시계열분석,교우사,2013년,신기일
9788992475815,"18,000",데이터 분석과 저널리즘,컴원미디어,2018년,함형건
9788966134809,"22,000",NCS 기반 경영 빅데이터 분석,와우패스,2018년,한국디지털정책학회 빅데이터전략연구회
9791125426929,"27,000",빅데이터(Big Data) 활용서. 1,시대인,2017년,"김경태, 안정국, 김동현"
9791158390914,"22,000",기초 수학으로 이해하는 머신러닝 알고리즘,위키북스,2018년,"타테이시 켄고, LINE Fukuoka Corporation"
9788970937922,"24,000",빅데이터 개론(Big Data),광문각,2016년,한국소프트웨어기술인협회 빅데이터전략연구소
9788966133352,"20,000",경영 빅데이터 분석사 2급 핵심요약 및 출제예상문제집,와우패스,2017년,한국소프트웨어기술인협회 빅데이터전략연구소
9791158081584,"18,000",R을 활용한 미적분의 이해와 계산,자유아카데미,2017년,최기헌
9788991182288,"25,000",확률과 통계,한티미디어,2007년,"이재원, 이욱기, 김건호"
9788968195587,"16,600",세상에서 가장 쉬운 수학: 확률과 통계,오르비북스,2017년,이원엽
9788990239440,"30,000",Minitab 품질관리,이레테크,2018년,이승훈
9791195088355,"13,000",우연의 과학,윤출판,2014년,다케우치 케이
9788961051989,"27,000",확률과 통계,경문사,2014년,김해경
9791186287330,"23,000",일반수학 및 확률통계(2018),미래보험교육원,2017년,박철주
9791156643975,"20,000",확률과 통계,한빛아카데미,2018년,야마모토 토시로
